schedule_code,collection_date,program_code_array
WA,30/12/2015,L;O;S
WA,31/12/2015,L;O;S
WB,01/01/2015,
WB,02/01/2015,R;O
WB,03/01/2015,R;O
WB,04/01/2015,
WB,05/01/2015,L;O;S
WB,06/01/2015,L;O;S
WB,07/01/2015,L;O;S
WB,08/01/2015,L;O;S
WB,09/01/2015,L;O;S
WB,10/01/2015,
WB,11/01/2015,
WB,12/01/2015,R;O
WB,13/01/2015,R;O
WB,14/01/2015,R;O
WB,15/01/2015,R;O
WB,16/01/2015,R;O
WB,17/01/2015,
WB,18/01/2015,
WB,19/01/2015,L;O;S
WB,20/01/2015,L;O;S
WB,21/01/2015,L;O;S
WB,22/01/2015,L;O;S
WB,23/01/2015,L;O;S
WB,24/01/2015,
WB,25/01/2015,
WB,26/01/2015,R;O
WB,27/01/2015,R;O
WB,28/01/2015,R;O
WB,29/01/2015,R;O
WB,30/01/2015,R;O
WB,31/01/2015,
WB,01/02/2015,
WB,02/02/2015,L;O;S
WB,03/02/2015,L;O;S
WB,04/02/2015,L;O;S
WB,05/02/2015,L;O;S
WB,06/02/2015,L;O;S
WB,07/02/2015,
WB,08/02/2015,
WB,09/02/2015,R;O
WB,10/02/2015,R;O
WB,11/02/2015,R;O
WB,12/02/2015,R;O
WB,13/02/2015,R;O
WB,14/02/2015,
WB,15/02/2015,
WB,16/02/2015,
WB,17/02/2015,L;O;S
WB,18/02/2015,L;O;S
WB,19/02/2015,L;O;S
WB,20/02/2015,L;O;S
WB,21/02/2015,L;O;S
WB,22/02/2015,
WB,23/02/2015,R;O
WB,24/02/2015,R;O
WB,25/02/2015,R;O
WB,26/02/2015,R;O
WB,27/02/2015,R;O
WB,28/02/2015,
WB,01/03/2015,
WB,02/03/2015,L;O;S
WB,03/03/2015,L;O;S
WB,04/03/2015,L;O;S
WB,05/03/2015,L;O;S
WB,06/03/2015,L;O;S
WB,07/03/2015,
WB,08/03/2015,
WB,09/03/2015,R;O
WB,10/03/2015,R;O
WB,11/03/2015,R;O
WB,12/03/2015,R;O
WB,13/03/2015,R;O
WB,14/03/2015,
WB,15/03/2015,
WB,16/03/2015,L;O;S
WB,17/03/2015,L;O;S
WB,18/03/2015,L;O;S
WB,19/03/2015,L;O;S
WB,20/03/2015,L;O;S
WB,21/03/2015,
WB,22/03/2015,
WB,23/03/2015,R;O
WB,24/03/2015,R;O
WB,25/03/2015,R;O
WB,26/03/2015,R;O
WB,27/03/2015,R;O
WB,28/03/2015,
WB,29/03/2015,
WB,30/03/2015,L;O;S
WB,31/03/2015,L;O;S
WB,01/04/2015,L;O;S
WB,02/04/2015,L;O;S
WB,03/04/2015,
WB,04/04/2015,L;O;S
WB,05/04/2015,
WB,06/04/2015,R;O
WB,07/04/2015,R;O
WB,08/04/2015,R;O
WB,09/04/2015,R;O
WB,10/04/2015,R;O
WB,11/04/2015,
WB,12/04/2015,
WB,13/04/2015,L;O;S
WB,14/04/2015,L;O;S
WB,15/04/2015,L;O;S
WB,16/04/2015,L;O;S
WB,17/04/2015,L;O;S
WB,18/04/2015,
WB,19/04/2015,
WB,20/04/2015,R;O
WB,21/04/2015,R;O
WB,22/04/2015,R;O
WB,23/04/2015,R;O
WB,24/04/2015,R;O
WB,25/04/2015,
WB,26/04/2015,
WB,27/04/2015,L;O;S
WB,28/04/2015,L;O;S
WB,29/04/2015,L;O;S
WB,30/04/2015,L;O;S
WB,01/05/2015,L;O;S
WB,02/05/2015,
WB,03/05/2015,
WB,04/05/2015,R;O
WB,05/05/2015,R;O
WB,06/05/2015,R;O
WB,07/05/2015,R;O
WB,08/05/2015,R;O
WB,09/05/2015,
WB,10/05/2015,
WB,11/05/2015,L;O;S
WB,12/05/2015,L;O;S
WB,13/05/2015,L;O;S
WB,14/05/2015,L;O;S
WB,15/05/2015,L;O;S
WB,16/05/2015,
WB,17/05/2015,
WB,18/05/2015,
WB,19/05/2015,R;O
WB,20/05/2015,R;O
WB,21/05/2015,R;O
WB,22/05/2015,R;O
WB,23/05/2015,R;O
WB,24/05/2015,
WB,25/05/2015,L;O;S
WB,26/05/2015,L;O;S
WB,27/05/2015,L;O;S
WB,28/05/2015,L;O;S
WB,29/05/2015,L;O;S
WB,30/05/2015,
WB,31/05/2015,
WB,01/06/2015,R;O
WB,02/06/2015,R;O
WB,03/06/2015,R;O
WB,04/06/2015,R;O
WB,05/06/2015,R;O
WB,06/06/2015,
WB,07/06/2015,
WB,08/06/2015,L;O;S
WB,09/06/2015,L;O;S
WB,10/06/2015,L;O;S
WB,11/06/2015,L;O;S
WB,12/06/2015,L;O;S
WB,13/06/2015,
WB,14/06/2015,
WB,15/06/2015,R;O
WB,16/06/2015,R;O
WB,17/06/2015,R;O
WB,18/06/2015,R;O
WB,19/06/2015,R;O
WB,20/06/2015,
WB,21/06/2015,
WB,22/06/2015,L;O;S
WB,23/06/2015,L;O;S
WB,24/06/2015,L;O;S
WB,25/06/2015,L;O;S
WB,26/06/2015,L;O;S
WB,27/06/2015,
WB,28/06/2015,
WB,29/06/2015,R;O
WB,30/06/2015,R;O
WB,01/07/2015,
WB,02/07/2015,R;O
WB,03/07/2015,R;O
WB,04/07/2015,R;O
WB,05/07/2015,
WB,06/07/2015,L;O;S
WB,07/07/2015,L;O;S
WB,08/07/2015,L;O;S
WB,09/07/2015,L;O;S
WB,10/07/2015,L;O;S
WB,11/07/2015,
WB,12/07/2015,
WB,13/07/2015,R;O
WB,14/07/2015,R;O
WB,15/07/2015,R;O
WB,16/07/2015,R;O
WB,17/07/2015,R;O
WB,18/07/2015,
WB,19/07/2015,
WB,20/07/2015,L;O;S
WB,21/07/2015,L;O;S
WB,22/07/2015,L;O;S
WB,23/07/2015,L;O;S
WB,24/07/2015,L;O;S
WB,25/07/2015,
WB,26/07/2015,
WB,27/07/2015,R;O
WB,28/07/2015,R;O
WB,29/07/2015,R;O
WB,30/07/2015,R;O
